epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,20300.6,1.29707,2.24143,1.73879,0.70689,0.6975,0.74299,0.39695,1.60046,2.44885,1.9124,0.000142453,0.000142453,0.000142453
99,20507.6,1.28791,2.21106,1.7273,0.69979,0.69989,0.7409,0.39077,1.62981,2.46709,1.93954,0.000137834,0.000137834,0.000137834
100,20709.3,1.28317,2.21689,1.72244,0.73011,0.68607,0.74122,0.39832,1.61462,2.43307,1.94071,0.000133266,0.000133266,0.000133266
101,21108.3,1.28456,2.20782,1.73156,0.7239,0.69261,0.75187,0.40719,1.59058,2.39312,1.93073,0.00012875,0.00012875,0.00012875
102,21287.4,1.2833,2.21424,1.72714,0.73352,0.67742,0.73965,0.39883,1.60192,2.43972,1.92803,0.000124288,0.000124288,0.000124288
103,21464.2,1.26639,2.15176,1.72064,0.7466,0.67398,0.74592,0.405,1.60467,2.40877,1.91394,0.000119883,0.000119883,0.000119883
104,21640.5,1.27755,2.15247,1.72203,0.69385,0.71605,0.75119,0.4038,1.60885,2.43195,1.91285,0.000115536,0.000115536,0.000115536
105,21816.2,1.26944,2.14698,1.71491,0.70056,0.70748,0.74016,0.3975,1.61731,2.45286,1.91984,0.000111248,0.000111248,0.000111248
106,21991.8,1.26598,2.13042,1.71282,0.70829,0.70004,0.74954,0.4043,1.6106,2.41316,1.91037,0.000107023,0.000107023,0.000107023
107,22168.1,1.25751,2.10161,1.69971,0.68236,0.73755,0.75349,0.41477,1.57371,2.3791,1.88188,0.000102862,0.000102862,0.000102862
108,22344.3,1.25032,2.1049,1.69673,0.74011,0.66916,0.7435,0.4078,1.58774,2.40002,1.91037,9.87659e-05,9.87659e-05,9.87659e-05
109,22521.1,1.25576,2.0934,1.69804,0.72898,0.70207,0.75397,0.40677,1.60388,2.39652,1.92209,9.47376e-05,9.47376e-05,9.47376e-05
110,22697.2,1.23406,2.06328,1.68858,0.73792,0.69483,0.75566,0.41355,1.59065,2.36265,1.91352,9.07784e-05,9.07784e-05,9.07784e-05
111,22872.8,1.24981,2.09404,1.69895,0.71942,0.71585,0.75204,0.40846,1.59921,2.39849,1.91633,8.68902e-05,8.68902e-05,8.68902e-05
112,23049.2,1.24228,2.08157,1.69482,0.73137,0.71469,0.76398,0.4141,1.59188,2.36596,1.91476,8.30746e-05,8.30746e-05,8.30746e-05
113,23225.1,1.24792,2.05191,1.69746,0.72296,0.71425,0.75205,0.40587,1.62367,2.40307,1.93588,7.93333e-05,7.93333e-05,7.93333e-05
114,23400.7,1.24335,2.08506,1.69386,0.73547,0.69745,0.75034,0.40103,1.62753,2.4104,1.93899,7.5668e-05,7.5668e-05,7.5668e-05
115,23576.8,1.23985,2.0431,1.69038,0.72558,0.71033,0.75784,0.40954,1.60662,2.35413,1.92108,7.20803e-05,7.20803e-05,7.20803e-05
116,23752.4,1.2161,2.01746,1.67773,0.72211,0.70962,0.758,0.41383,1.59261,2.36014,1.90745,6.85717e-05,6.85717e-05,6.85717e-05
117,23928,1.21885,1.9977,1.6759,0.75875,0.67858,0.74813,0.40577,1.61899,2.38763,1.92909,6.51437e-05,6.51437e-05,6.51437e-05
118,24138.6,1.22996,2.0092,1.68557,0.78089,0.66173,0.75509,0.40637,1.60732,2.36934,1.92616,6.1798e-05,6.1798e-05,6.1798e-05
119,24372.4,1.22438,2.01193,1.67969,0.71331,0.71134,0.75186,0.40569,1.60716,2.39277,1.92214,5.85359e-05,5.85359e-05,5.85359e-05
120,24736.4,1.22398,2.02677,1.68119,0.73856,0.72401,0.76575,0.41241,1.59157,2.36219,1.9167,5.53588e-05,5.53588e-05,5.53588e-05
121,24913.8,1.21058,1.96679,1.66271,0.72677,0.71583,0.76065,0.41432,1.59254,2.3604,1.9173,5.22683e-05,5.22683e-05,5.22683e-05
122,25090,1.21462,1.95529,1.67273,0.76549,0.68336,0.75927,0.41076,1.60277,2.38226,1.9231,4.92656e-05,4.92656e-05,4.92656e-05
123,25265.6,1.22578,1.97198,1.6785,0.7229,0.70553,0.75989,0.41181,1.59747,2.37077,1.91996,4.6352e-05,4.6352e-05,4.6352e-05
124,25441.8,1.21119,1.95177,1.66121,0.74383,0.70443,0.76161,0.41844,1.59013,2.35086,1.91535,4.35288e-05,4.35288e-05,4.35288e-05
125,25618.9,1.19492,1.92358,1.64914,0.7427,0.6991,0.7609,0.41364,1.60418,2.38107,1.92398,4.07973e-05,4.07973e-05,4.07973e-05
126,25795.5,1.18962,1.93493,1.65426,0.73211,0.70751,0.75974,0.41181,1.60443,2.38119,1.92489,3.81587e-05,3.81587e-05,3.81587e-05
127,25972.4,1.20069,1.93967,1.6595,0.74576,0.70313,0.76358,0.41461,1.60166,2.37838,1.92128,3.56141e-05,3.56141e-05,3.56141e-05
128,26148,1.18561,1.9573,1.65571,0.74777,0.69928,0.76536,0.4166,1.59529,2.37297,1.91623,3.31646e-05,3.31646e-05,3.31646e-05
129,26323.7,1.19644,1.95909,1.66017,0.73892,0.71041,0.75991,0.41786,1.58573,2.35869,1.91205,3.08113e-05,3.08113e-05,3.08113e-05
130,26499.9,1.19484,1.92583,1.64991,0.7539,0.70711,0.76166,0.41672,1.59469,2.3661,1.92057,2.85553e-05,2.85553e-05,2.85553e-05
131,26697.1,1.16675,1.61209,1.64634,0.74846,0.70723,0.76086,0.41721,1.59062,2.36848,1.92196,2.63975e-05,2.63975e-05,2.63975e-05
132,26873.8,1.16092,1.5962,1.6369,0.73845,0.7172,0.76261,0.41715,1.5881,2.35879,1.91799,2.43389e-05,2.43389e-05,2.43389e-05
133,27049.8,1.16619,1.60422,1.64938,0.73353,0.71498,0.76139,0.41508,1.586,2.36648,1.90923,2.23803e-05,2.23803e-05,2.23803e-05
134,27225.6,1.14787,1.56936,1.62576,0.76244,0.69483,0.76161,0.41297,1.58991,2.36912,1.9097,2.05227e-05,2.05227e-05,2.05227e-05
135,27401.5,1.16273,1.57095,1.64171,0.76058,0.69307,0.76018,0.41083,1.6002,2.37743,1.91897,1.87668e-05,1.87668e-05,1.87668e-05
136,27577.7,1.14762,1.56293,1.62607,0.75347,0.68561,0.75946,0.40942,1.6042,2.38132,1.92401,1.71135e-05,1.71135e-05,1.71135e-05
137,27801.3,1.1512,1.55506,1.6228,0.74559,0.68992,0.76057,0.4136,1.60118,2.3768,1.92718,1.55634e-05,1.55634e-05,1.55634e-05
138,28138.7,1.14847,1.55916,1.62432,0.75561,0.69789,0.76323,0.41865,1.58728,2.36826,1.91559,1.41173e-05,1.41173e-05,1.41173e-05
139,28455,1.14359,1.55463,1.62215,0.75181,0.70286,0.7635,0.4177,1.5896,2.36986,1.9185,1.27757e-05,1.27757e-05,1.27757e-05
140,28666.3,1.14197,1.53927,1.62608,0.75598,0.69727,0.76311,0.41458,1.5994,2.37765,1.92952,1.15392e-05,1.15392e-05,1.15392e-05
141,28959,1.1457,1.5486,1.62268,0.7514,0.70114,0.76343,0.41625,1.59532,2.3755,1.92674,1.04085e-05,1.04085e-05,1.04085e-05
142,29179.5,1.1306,1.52713,1.61363,0.75365,0.70736,0.7648,0.41788,1.59235,2.36959,1.92508,9.38391e-06,9.38391e-06,9.38391e-06
143,29393.1,1.1335,1.53228,1.6136,0.7377,0.716,0.76517,0.419,1.59292,2.36676,1.92353,8.46598e-06,8.46598e-06,8.46598e-06
144,29570.4,1.13721,1.5188,1.61289,0.7353,0.71815,0.76585,0.42066,1.59012,2.35905,1.92112,7.6551e-06,7.6551e-06,7.6551e-06
145,29746,1.13972,1.51946,1.61656,0.73887,0.71491,0.76488,0.41827,1.59019,2.35966,1.92176,6.95161e-06,6.95161e-06,6.95161e-06
146,29920.6,1.13113,1.51805,1.61201,0.75252,0.70674,0.7647,0.41772,1.59074,2.35599,1.92147,6.35583e-06,6.35583e-06,6.35583e-06
147,30095,1.13159,1.52267,1.61459,0.74777,0.70899,0.76605,0.41974,1.58712,2.35124,1.91778,5.86802e-06,5.86802e-06,5.86802e-06
148,30269.6,1.13418,1.51661,1.61348,0.75008,0.70447,0.76617,0.42043,1.58696,2.34666,1.91786,5.48838e-06,5.48838e-06,5.48838e-06
149,30443.7,1.14518,1.51877,1.62247,0.74753,0.70528,0.76406,0.41904,1.59164,2.35549,1.92183,5.2171e-06,5.2171e-06,5.2171e-06
150,30618.3,1.13625,1.5246,1.61337,0.75118,0.70445,0.76338,0.41921,1.58869,2.3621,1.92042,5.05428e-06,5.05428e-06,5.05428e-06
